site,dec_date,yyyymmdd hhmmss,wind_dir,wind_spd,HCFC142B,HCFC142B_sd,datetime_utc,api_wind_spd,api_wind_dir
alt,2003.007260,20030103 1538,253.000,1.200,14.890,0.120,2003-01-03 15:38:00+00:00,3.362,301.633
alt,2003.064900,20030124 1630,142.100,0.637,15.210,0.040,2003-01-24 16:30:00+00:00,1.870,270.000
alt,2003.081330,20030130 1625,344.200,6.710,15.630,0.200,2003-01-30 16:25:00+00:00,5.596,316.000
alt,2003.330940,20030501 1903,230.000,1.100,15.250,0.010,2003-05-01 19:03:00+00:00,0.715,90.300
alt,2003.349720,20030508 1533,193.000,2.100,15.350,0.050,2003-05-08 15:33:00+00:00,1.623,230.000
alt,2003.368730,20030515 1407,213.000,1.400,15.440,0.240,2003-05-15 14:07:00+00:00,0.666,28.393
alt,2003.388110,20030522 1552,338.000,4.200,15.270,0.060,2003-05-22 15:52:00+00:00,4.303,8.267
alt,2003.426310,20030605 1428,53.000,2.400,15.220,0.150,2003-06-05 14:28:00+00:00,1.473,30.463
alt,2003.448370,20030613 1544,22.000,0.100,15.260,0.100,2003-06-13 15:44:00+00:00,1.387,132.000
alt,2003.464810,20030619 1543,205.000,13.700,15.160,0.000,2003-06-19 15:43:00+00:00,6.981,201.283
alt,2003.484020,20030626 1600,45.000,3.200,15.080,0.130,2003-06-26 16:00:00+00:00,2.620,108.000
alt,2003.503380,20030703 1738,185.000,7.000,15.350,0.380,2003-07-03 17:38:00+00:00,2.236,152.971
alt,2003.522440,20030710 1632,58.000,1.700,15.260,0.070,2003-07-10 16:32:00+00:00,2.876,72.533
alt,2003.541450,20030717 1506,271.000,3.500,15.290,0.180,2003-07-17 15:06:00+00:00,4.893,204.400
alt,2003.579970,20030731 1632,107.000,2.900,15.270,0.100,2003-07-31 16:32:00+00:00,2.471,357.812
alt,2003.618190,20030814 1520,245.000,6.300,15.080,0.010,2003-08-14 15:20:00+00:00,4.997,197.332
alt,2003.643050,20030823 1709,93.000,3.000,16.550,0.260,2003-08-23 17:09:00+00:00,0.576,88.730
alt,2003.659610,20030829 1811,77.000,2.000,15.360,0.160,2003-08-29 18:11:00+00:00,1.547,109.817
alt,2003.675900,20030904 1653,124.000,2.000,16.390,0.060,2003-09-04 16:53:00+00:00,2.323,137.233
alt,2003.695050,20030911 1640,217.000,7.600,15.360,0.020,2003-09-11 16:40:00+00:00,6.620,201.000
alt,2003.714160,20030918 1602,210.000,7.400,15.120,0.090,2003-09-18 16:02:00+00:00,2.533,189.000
alt,2003.733320,20030925 1552,238.000,5.900,15.260,0.200,2003-09-25 15:52:00+00:00,1.970,240.000
alt,2003.755190,20031003 1528,29.000,0.900,15.220,0.000,2003-10-03 15:28:00+00:00,2.887,339.867
alt,2003.772080,20031009 1924,82.000,1.800,15.440,0.020,2003-10-09 19:24:00+00:00,2.928,305.200
alt,2003.790920,20031016 1629,153.000,5.000,15.670,0.010,2003-10-16 16:29:00+00:00,1.629,236.100
alt,2003.829380,20031030 1722,195.000,2.000,15.830,0.090,2003-10-30 17:22:00+00:00,2.996,224.633
alt,2003.848400,20031106 1557,346.000,2.500,15.790,0.050,2003-11-06 15:57:00+00:00,3.623,208.050
alt,2003.867700,20031113 1704,257.000,1.400,15.410,0.020,2003-11-13 17:04:00+00:00,2.439,304.667
alt,2003.906070,20031127 1711,339.000,0.600,16.080,0.150,2003-11-27 17:11:00+00:00,2.111,267.627
alt,2003.925290,20031204 1733,287.000,7.300,15.660,0.140,2003-12-04 17:33:00+00:00,7.671,214.100
alt,2003.947060,20031212 1614,191.000,5.400,15.700,0.030,2003-12-12 16:14:00+00:00,2.278,218.700
alt,2003.963560,20031218 1649,189.000,0.400,15.760,0.110,2003-12-18 16:49:00+00:00,2.297,239.550
alt,2003.985760,20031226 1915,62.000,1.100,16.230,0.300,2003-12-26 19:15:00+00:00,4.492,323.750
alt,2004.004540,20040102 1553,112.000,2.400,15.830,0.030,2004-01-02 15:53:00+00:00,4.186,316.000
alt,2004.020970,20040108 1612,64.000,1.000,15.900,0.060,2004-01-08 16:12:00+00:00,3.722,316.400
alt,2004.042950,20040116 1714,235.000,0.900,15.710,0.120,2004-01-16 17:14:00+00:00,3.719,334.767
alt,2004.078630,20040129 1840,94.000,3.200,15.980,0.080,2004-01-29 18:40:00+00:00,2.323,286.000
alt,2004.116610,20040212 1618,22.000,2.100,15.770,0.030,2004-02-12 16:18:00+00:00,1.776,289.294
alt,2004.135600,20040219 1507,217.000,1.100,15.730,0.020,2004-02-19 15:07:00+00:00,1.350,228.000
alt,2004.154910,20040226 1645,98.000,3.100,15.630,0.070,2004-02-26 16:45:00+00:00,2.572,301.250
alt,2004.173900,20040304 1533,136.000,2.500,15.520,0.020,2004-03-04 15:33:00+00:00,2.001,274.951
alt,2004.193340,20040311 1817,139.000,14.000,15.630,0.040,2004-03-11 18:17:00+00:00,5.432,199.567
alt,2004.215110,20040319 1730,148.000,5.000,15.630,0.020,2004-03-19 17:30:00+00:00,3.715,197.000
alt,2004.231440,20040325 1700,2.100,9.000,15.560,0.080,2004-03-25 17:00:00+00:00,4.080,324.000
alt,2004.250440,20040401 1550,152.000,2.400,15.980,0.270,2004-04-01 15:50:00+00:00,1.073,220.500
alt,2004.285950,20040414 1546,61.000,2.200,15.710,0.070,2004-04-14 15:46:00+00:00,2.202,197.834
alt,2004.324310,20040428 1644,101.000,2.400,15.720,0.490,2004-04-28 16:44:00+00:00,2.230,5.267
alt,2004.362440,20040512 1543,194.000,1.800,15.930,0.030,2004-05-12 15:43:00+00:00,1.964,120.982
alt,2004.384280,20040520 1530,276.000,1.000,15.370,0.030,2004-05-20 15:30:00+00:00,2.550,19.500
alt,2004.400630,20040526 1508,290.000,3.700,15.580,0.070,2004-05-26 15:08:00+00:00,3.212,190.867
alt,2004.419710,20040602 1444,171.000,4.900,15.710,0.020,2004-06-02 14:44:00+00:00,1.597,140.000
alt,2004.442140,20040610 1943,45.000,1.300,15.650,0.150,2004-06-10 19:43:00+00:00,1.546,114.150
alt,2004.482770,20040625 1637,4.000,4.000,15.880,0.080,2004-06-25 16:37:00+00:00,5.824,354.617
alt,2004.496330,20040630 1546,346.000,1.000,15.930,0.030,2004-06-30 15:46:00+00:00,1.945,31.834
alt,2004.534540,20040714 1524,183.000,6.500,15.720,0.140,2004-07-14 15:24:00+00:00,5.584,181.200
alt,2004.556350,20040722 1457,57.000,6.000,16.290,0.040,2004-07-22 14:57:00+00:00,1.282,119.353
alt,2004.572650,20040728 1409,185.000,8.300,16.000,0.100,2004-07-28 14:09:00+00:00,6.233,188.150
alt,2004.594280,20040805 1207,114.000,0.700,16.970,0.020,2004-08-05 12:07:00+00:00,1.437,45.815
alt,2004.630620,20040818 1924,22.000,0.600,16.230,0.010,2004-08-18 19:24:00+00:00,2.222,71.000
alt,2004.652290,20040826 1744,250.000,8.500,16.580,0.030,2004-08-26 17:44:00+00:00,4.514,209.934
alt,2004.668470,20040901 1550,323.000,5.300,16.750,0.020,2004-09-01 15:50:00+00:00,2.453,347.667
alt,2004.687550,20040908 1528,200.000,2.000,15.980,0.430,2004-09-08 15:28:00+00:00,0.794,16.861
alt,2004.709500,20040916 1614,120.000,3.300,15.850,0.000,2004-09-16 16:14:00+00:00,2.652,114.300
alt,2004.726120,20040922 1816,295.000,0.600,16.050,0.030,2004-09-22 18:16:00+00:00,0.945,246.557
