site,dec_date,yyyymmdd hhmmss,wind_dir,wind_spd,HCFC142B,HCFC142B_sd,datetime_utc,api_wind_spd,api_wind_dir
hfm,2023.368900,20230515 1535,275.000,2.000,21.820,0.000,2023-05-15 15:35:00+00:00,3.829,275.996
hfm,2023.390840,20230523 1545,219.000,1.100,21.860,0.060,2023-05-23 15:45:00+00:00,2.050,182.250
hfm,2023.431780,20230607 1425,305.000,1.600,22.030,0.050,2023-06-07 14:25:00+00:00,4.763,312.417
hfm,2023.443100,20230611 1735,186.000,3.400,21.860,0.060,2023-06-11 17:35:00+00:00,1.933,271.581
hfm,2023.470240,20230621 1520,63.000,1.800,22.480,0.010,2023-06-21 15:20:00+00:00,2.207,92.335
hfm,2023.486780,20230627 1610,158.000,2.600,21.580,0.000,2023-06-27 16:10:00+00:00,5.185,170.484
hfm,2023.525130,20230711 1610,262.000,1.800,22.210,0.020,2023-07-11 16:10:00+00:00,2.910,308.680
hfm,2023.571640,20230728 1535,280.000,1.000,22.280,0.010,2023-07-28 15:35:00+00:00,1.432,223.828
hfm,2023.588200,20230803 1640,212.000,2.300,23.020,0.030,2023-08-03 16:40:00+00:00,3.967,207.667
hfm,2023.604230,20230809 1305,286.000,1.500,22.190,0.140,2023-08-09 13:05:00+00:00,4.363,306.167
hfm,2023.659390,20230829 1615,147.000,1.900,22.770,0.030,2023-08-29 16:15:00+00:00,2.942,152.250
hfm,2023.683900,20230907 1500,239.000,0.600,22.340,0.040,2023-09-07 15:00:00+00:00,0.850,225.000
hfm,2023.719700,20230920 1635,269.000,1.600,21.780,0.030,2023-09-20 16:35:00+00:00,2.603,287.165
hfm,2023.741400,20230928 1440,80.000,0.900,22.180,0.000,2023-09-28 14:40:00+00:00,1.620,66.364
hfm,2023.760880,20231005 1720,205.000,2.000,22.470,0.000,2023-10-05 17:20:00+00:00,2.683,183.338
hfm,2023.799120,20231019 1620,189.000,3.100,22.170,0.010,2023-10-19 16:20:00+00:00,4.753,202.999
hfm,2023.821020,20231027 1610,254.000,1.900,25.170,0.020,2023-10-27 16:10:00+00:00,2.678,227.833
hfm,2023.832060,20231031 1650,215.000,1.200,21.710,0.060,2023-10-31 16:50:00+00:00,1.645,318.165
hfm,2023.867700,20231113 1705,263.000,1.700,22.050,0.060,2023-11-13 17:05:00+00:00,1.636,226.418
