site,dec_date,yyyymmdd hhmmss,wind_dir,wind_spd,HCFC142B,HCFC142B_sd,datetime_utc,api_wind_spd,api_wind_dir
cgo,2022.531930,20220714 0340,258.000,6.600,20.840,0.040,2022-07-14 03:40:00+00:00,3.853,264.666
cgo,2022.641350,20220823 0211,213.000,13.700,20.840,0.060,2022-08-23 02:11:00+00:00,8.945,220.633
cgo,2022.641490,20220823 0325,221.000,14.500,20.900,0.050,2022-08-23 03:25:00+00:00,8.465,220.250
cgo,2022.668700,20220902 0149,230.000,11.500,20.820,0.000,2022-09-02 01:49:00+00:00,6.382,224.183
cgo,2022.696090,20220912 0145,216.000,15.000,20.860,0.020,2022-09-12 01:45:00+00:00,8.455,223.000
cgo,2022.740030,20220928 0242,194.000,14.200,20.850,0.070,2022-09-28 02:42:00+00:00,7.220,209.800
cgo,2022.740180,20220928 0359,196.000,15.100,20.850,0.030,2022-09-28 03:59:00+00:00,7.572,209.033
cgo,2022.753730,20221003 0240,247.000,3.700,20.930,0.250,2022-10-03 02:40:00+00:00,4.430,242.333
cgo,2022.792120,20221017 0300,214.000,7.300,20.760,0.160,2022-10-17 03:00:00+00:00,4.950,227.000
cgo,2022.816990,20221026 0449,210.000,8.200,20.780,0.020,2022-10-26 04:49:00+00:00,4.503,241.266
cgo,2022.835700,20221102 0046,241.000,10.600,20.790,0.060,2022-11-02 00:46:00+00:00,8.499,237.533
cgo,2022.868640,20221114 0118,198.000,20.300,20.730,0.010,2022-11-14 01:18:00+00:00,10.568,212.200
cgo,2022.868820,20221114 0251,204.000,18.000,20.830,0.000,2022-11-14 02:51:00+00:00,10.838,218.400
cgo,2022.888080,20221121 0334,236.000,18.400,20.800,0.060,2022-11-21 03:34:00+00:00,11.405,238.101
cgo,2022.906920,20221128 0038,297.000,15.900,20.700,0.000,2022-11-28 00:38:00+00:00,8.688,285.900
cgo,2023.046710,20230118 0110,226.000,14.600,20.670,0.110,2023-01-18 01:10:00+00:00,8.745,231.167
cgo,2023.046890,20230118 0247,229.000,16.900,20.700,0.020,2023-01-18 02:47:00+00:00,9.520,228.866
cgo,2023.085050,20230201 0101,205.000,14.100,20.720,0.040,2023-02-01 01:01:00+00:00,7.784,217.050
cgo,2023.098870,20230206 0206,236.000,11.300,20.610,0.010,2023-02-06 02:06:00+00:00,6.230,236.000
cgo,2023.136990,20230220 0000,221.000,7.500,20.580,0.010,2023-02-20 00:00:00+00:00,5.110,247.000
cgo,2023.137420,20230220 0348,204.000,7.500,20.660,0.070,2023-02-20 03:48:00+00:00,5.246,219.589
cgo,2023.167560,20230303 0350,65.000,2.800,20.650,0.050,2023-03-03 03:50:00+00:00,0.517,320.166
cgo,2023.203070,20230316 0251,249.000,11.200,20.700,0.170,2023-03-16 02:51:00+00:00,7.622,264.150
cgo,2023.203270,20230316 0439,245.000,12.200,20.590,0.010,2023-03-16 04:39:00+00:00,7.280,256.449
cgo,2023.238680,20230329 0248,217.000,13.600,20.600,0.050,2023-03-29 02:48:00+00:00,7.792,218.999
cgo,2023.296290,20230419 0328,257.000,11.100,20.620,0.010,2023-04-19 03:28:00+00:00,7.939,244.067
cgo,2023.296400,20230419 0427,250.000,9.000,20.620,0.030,2023-04-19 04:27:00+00:00,7.838,243.450
cgo,2023.321020,20230428 0407,257.000,14.000,20.540,0.020,2023-04-28 04:07:00+00:00,8.077,253.534
cgo,2023.334690,20230503 0353,221.000,13.400,20.610,0.060,2023-05-03 03:53:00+00:00,6.917,218.466
cgo,2023.351260,20230509 0504,210.000,13.200,20.520,0.010,2023-05-09 05:04:00+00:00,8.187,215.067
cgo,2023.605750,20230810 0220,240.000,10.700,20.580,0.030,2023-08-10 02:20:00+00:00,8.140,230.000
cgo,2023.627510,20230818 0101,224.000,19.200,20.550,0.030,2023-08-18 01:01:00+00:00,8.423,215.033
cgo,2023.646810,20230825 0202,262.000,17.000,20.560,0.060,2023-08-25 02:02:00+00:00,8.388,247.734
cgo,2023.663300,20230831 0230,241.000,15.900,20.570,0.050,2023-08-31 02:30:00+00:00,10.095,242.000
cgo,2023.663420,20230831 0332,240.000,13.600,20.600,0.020,2023-08-31 03:32:00+00:00,10.267,237.867
cgo,2023.718070,20230920 0215,269.000,10.800,20.480,0.010,2023-09-20 02:15:00+00:00,10.902,271.000
cgo,2023.740070,20230928 0301,265.000,12.500,20.510,0.020,2023-09-28 03:01:00+00:00,7.147,263.967
cgo,2023.740230,20230928 0427,265.000,12.500,20.520,0.030,2023-09-28 04:27:00+00:00,7.684,261.100
cgo,2023.759240,20231005 0256,265.000,9.700,20.490,0.010,2023-10-05 02:56:00+00:00,8.855,261.000
cgo,2023.781160,20231013 0256,246.000,14.200,20.510,0.010,2023-10-13 02:56:00+00:00,8.789,240.667
cgo,2023.830160,20231031 0013,220.000,20.800,20.590,0.010,2023-10-31 00:13:00+00:00,9.506,231.783
cgo,2023.865990,20231113 0206,254.000,9.300,20.600,0.040,2023-11-13 02:06:00+00:00,7.101,254.000
cgo,2023.953720,20231215 0237,268.000,4.000,20.470,0.050,2023-12-15 02:37:00+00:00,3.718,263.850
cgo,2023.964390,20231219 0005,228.000,11.200,20.540,0.050,2023-12-19 00:05:00+00:00,6.242,228.830
cgo,2024.046750,20240118 0238,268.000,22.000,20.460,0.020,2024-01-18 02:38:00+00:00,11.382,255.100
cgo,2024.095700,20240205 0036,224.000,13.200,20.370,0.020,2024-02-05 00:36:00+00:00,7.792,232.400
cgo,2024.125830,20240216 0117,240.000,7.900,20.270,0.080,2024-02-16 01:17:00+00:00,4.236,248.867
cgo,2024.180840,20240307 0430,198.000,12.600,20.340,0.000,2024-03-07 04:30:00+00:00,6.110,220.000
cgo,2024.199560,20240314 0054,197.000,15.400,20.310,0.060,2024-03-14 00:54:00+00:00,5.742,193.600
cgo,2024.218670,20240321 0047,240.000,6.900,20.380,0.030,2024-03-21 00:47:00+00:00,4.946,256.350
cgo,2024.223960,20240322 2316,268.000,7.500,20.460,0.010,2024-03-22 23:16:00+00:00,2.730,172.000
cgo,2024.270630,20240409 0115,0.000,0.000,20.380,0.000,2024-04-09 01:15:00+00:00,6.850,223.249
cgo,2024.287100,20240415 0152,257.000,9.000,20.310,0.050,2024-04-15 01:52:00+00:00,6.087,247.467
cgo,2024.287330,20240415 0352,0.000,0.000,20.340,0.000,2024-04-15 03:52:00+00:00,6.194,248.267
cgo,2024.311630,20240424 0123,243.000,14.400,20.360,0.030,2024-04-24 01:23:00+00:00,9.019,225.767
cgo,2024.366300,20240514 0134,231.000,5.000,20.330,0.020,2024-05-14 01:34:00+00:00,7.302,229.433
cgo,2024.423690,20240604 0139,230.000,13.300,20.330,0.010,2024-06-04 01:39:00+00:00,7.357,226.350
cgo,2024.423740,20240604 0207,230.000,13.300,20.330,0.010,2024-06-04 02:07:00+00:00,7.182,226.233
cgo,2024.445580,20240612 0201,219.000,18.100,20.350,0.010,2024-06-12 02:01:00+00:00,8.768,212.017
cgo,2024.522190,20240710 0253,249.000,14.000,20.330,0.010,2024-07-10 02:53:00+00:00,6.458,239.837
cgo,2024.522380,20240710 0433,268.000,8.700,20.370,0.100,2024-07-10 04:33:00+00:00,5.632,255.153
cgo,2024.535800,20240715 0227,205.000,19.500,20.360,0.010,2024-07-15 02:27:00+00:00,10.035,200.000
cgo,2024.650380,20240826 0058,264.000,15.100,20.350,0.010,2024-08-26 00:58:00+00:00,9.106,268.570
cgo,2024.669650,20240902 0210,263.000,25.500,20.300,0.040,2024-09-02 02:10:00+00:00,11.778,251.167
cgo,2024.688660,20240909 0111,270.000,10.800,20.320,0.010,2024-09-09 01:11:00+00:00,8.428,269.183
