site,dec_date,yyyymmdd hhmmss,wind_dir,wind_spd,HCFC142B,HCFC142B_sd,datetime_utc,api_wind_spd,api_wind_dir
brw,2023.241180,20230330 0044,120.000,7.900,21.680,0.020,2023-03-30 00:44:00+00:00,6.609,129.267
brw,2023.265290,20230407 1956,324.000,3.600,21.640,0.040,2023-04-07 19:56:00+00:00,4.047,344.991
brw,2023.284480,20230414 2005,316.900,6.260,21.700,0.070,2023-04-14 20:05:00+00:00,2.737,6.000
brw,2023.303660,20230421 2005,46.800,7.800,21.710,0.120,2023-04-21 20:05:00+00:00,7.998,58.083
brw,2023.322930,20230428 2054,79.100,5.300,21.620,0.010,2023-04-28 20:54:00+00:00,6.453,77.000
brw,2023.330990,20230501 1930,77.000,7.400,21.600,0.010,2023-05-01 19:30:00+00:00,9.565,78.000
brw,2023.355490,20230510 1804,86.000,3.000,21.690,0.050,2023-05-10 18:04:00+00:00,2.320,97.000
brw,2023.371980,20230516 1835,65.000,5.400,21.710,0.010,2023-05-16 18:35:00+00:00,5.647,59.084
brw,2023.394060,20230524 1957,68.000,5.100,21.580,0.010,2023-05-24 19:57:00+00:00,6.455,77.050
brw,2023.418500,20230602 1803,103.300,5.000,21.740,0.100,2023-06-02 18:03:00+00:00,7.047,96.150
brw,2023.429560,20230606 1856,72.000,5.400,21.770,0.080,2023-06-06 18:56:00+00:00,5.831,70.133
brw,2023.446170,20230612 2028,84.830,3.610,21.650,0.000,2023-06-12 20:28:00+00:00,3.771,88.067
brw,2023.476080,20230623 1829,108.000,6.800,21.680,0.040,2023-06-23 18:29:00+00:00,7.337,101.450
brw,2023.484380,20230626 1910,56.800,5.900,21.670,0.000,2023-06-26 19:10:00+00:00,5.212,68.334
brw,2023.503570,20230703 1919,102.600,7.320,21.600,0.070,2023-07-03 19:19:00+00:00,6.065,107.050
brw,2023.522560,20230710 1735,108.000,4.200,21.690,0.050,2023-07-10 17:35:00+00:00,5.210,110.750
brw,2023.541810,20230717 1815,111.000,5.200,21.890,0.020,2023-07-17 18:15:00+00:00,6.100,105.500
brw,2023.560980,20230724 1813,109.000,6.300,21.770,0.000,2023-07-24 18:13:00+00:00,6.460,118.567
brw,2023.580710,20230731 2303,113.000,6.200,21.760,0.020,2023-07-31 23:03:00+00:00,6.680,99.000
brw,2023.599430,20230807 1900,70.300,7.000,21.730,0.090,2023-08-07 19:00:00+00:00,3.710,87.000
brw,2023.629560,20230818 1856,214.500,4.100,21.720,0.000,2023-08-18 18:56:00+00:00,8.850,232.200
brw,2023.648650,20230825 1809,36.000,5.600,21.640,0.090,2023-08-25 18:09:00+00:00,6.728,72.235
brw,2023.662550,20230830 1954,103.000,5.900,21.580,0.020,2023-08-30 19:54:00+00:00,5.389,103.000
brw,2023.678890,20230905 1904,76.000,2.300,21.690,0.010,2023-09-05 19:04:00+00:00,0.871,169.943
brw,2023.695230,20230911 1814,83.000,4.400,21.670,0.010,2023-09-11 18:14:00+00:00,5.827,83.136
brw,2023.714370,20230918 1754,70.000,8.800,21.730,0.040,2023-09-18 17:54:00+00:00,11.342,63.800
brw,2023.733580,20230925 1809,128.000,3.400,21.610,0.010,2023-09-25 18:09:00+00:00,5.990,124.300
brw,2023.763850,20231006 1920,329.200,6.900,21.570,0.020,2023-10-06 19:20:00+00:00,7.040,335.000
brw,2023.771970,20231009 1827,77.800,6.300,21.660,0.020,2023-10-09 18:27:00+00:00,9.839,72.550
brw,2023.802050,20231020 1800,292.000,10.600,21.750,0.050,2023-10-20 18:00:00+00:00,13.360,307.000
brw,2023.821270,20231027 1817,308.900,6.700,21.640,0.030,2023-10-27 18:17:00+00:00,7.237,290.717
brw,2023.829280,20231030 1631,72.000,6.000,21.660,0.040,2023-10-30 16:31:00+00:00,5.260,78.583
brw,2023.849420,20231107 0053,75.000,12.500,21.580,0.090,2023-11-07 00:53:00+00:00,14.181,70.233
